year,baseline,jackknife_drop_E,jackknife_drop_X,jackknife_drop_I,jackknife_drop_P,alt_E=final_energy,alt_X=cement_Mt,alt_I=BalticDryIdx,alt_P=raw_population,alt_ALL_swapped,per_capita_CESI,supply_eroi_PCHIP,supply_era_OPEC_share,supply_undeflated
1980,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
1981,93.263,93.893,93.059,92.930,93.298,93.342,93.596,88.528,93.412,89.089,91.592,93.702,93.263,93.263
1982,86.620,87.552,86.365,86.118,86.644,86.766,87.145,77.700,86.902,78.653,83.520,87.553,86.620,86.620
1983,88.327,89.253,87.420,88.408,88.344,88.551,88.992,79.152,88.623,80.336,83.631,89.931,88.327,88.327
1984,93.778,94.487,92.357,94.432,93.831,94.097,93.772,84.663,93.917,85.113,87.218,96.292,93.778,93.778
1985,92.392,94.180,89.530,93.262,92.652,92.777,90.962,81.541,92.472,80.576,84.397,95.780,92.392,92.392
1986,99.143,101.183,95.817,100.172,99.454,99.638,97.901,86.070,99.202,85.384,88.935,103.874,99.143,99.143
1987,103.549,105.818,99.625,104.823,103.955,104.151,101.940,94.971,103.490,93.906,91.201,109.752,103.549,103.549
1988,116.694,119.333,111.987,118.226,117.236,117.469,114.951,110.547,116.484,109.368,100.936,125.236,90.511,87.521
1989,120.192,123.870,114.559,121.551,120.913,121.078,116.677,116.072,119.968,113.219,102.125,130.713,93.223,90.144
1990,112.682,116.666,107.216,113.627,113.436,113.598,108.800,105.715,112.495,102.563,94.066,124.274,87.398,84.511
1991,114.013,118.599,108.101,114.825,114.832,115.025,109.914,105.511,113.899,102.310,93.580,127.601,88.431,85.510
1992,131.334,136.472,124.210,132.725,132.213,132.608,128.593,119.500,131.287,117.986,106.088,131.334,101.865,98.500
1993,131.961,137.301,124.106,133.837,132.844,133.345,130.649,121.944,131.977,122.032,104.964,134.340,102.352,98.971
1994,136.475,142.569,127.948,138.242,137.473,138.006,136.702,132.283,136.512,134.078,106.948,142.026,105.853,102.356
1995,143.313,150.393,133.974,144.833,144.507,145.022,144.287,140.989,143.285,143.643,110.681,152.953,111.157,107.485
1996,149.648,157.174,139.851,151.076,150.982,151.549,150.136,137.549,149.484,139.773,113.929,164.159,116.070,112.236
1997,155.378,164.120,144.880,156.299,156.896,157.454,156.405,142.652,155.250,145.629,116.639,175.386,120.514,116.533
1998,159.081,168.172,146.760,161.314,160.619,161.329,160.103,143.680,159.034,146.902,117.783,184.754,123.387,119.311
1999,157.765,167.282,145.026,159.949,159.388,160.106,160.383,143.011,157.689,147.895,115.237,188.244,122.366,118.324
2000,208.094,220.472,191.396,210.961,210.282,211.349,209.755,194.132,207.835,198.787,149.962,208.094,161.402,156.071
2001,204.028,214.637,185.881,209.846,205.897,207.420,207.744,185.994,203.818,192.892,145.075,208.475,158.248,153.021
2002,205.773,216.842,186.338,212.230,207.771,209.347,211.270,186.857,205.457,195.611,144.405,214.657,159.602,154.330
2003,189.501,201.149,172.722,192.972,191.702,192.899,198.159,189.478,188.970,201.002,131.274,201.656,144.734,142.126
2004,201.690,215.249,185.170,202.883,204.441,205.428,212.182,222.382,200.701,235.621,137.934,218.780,154.043,151.268
2005,211.623,227.018,194.431,211.525,214.820,215.671,226.632,214.798,210.364,232.594,142.891,233.843,161.630,158.718
2006,244.152,263.915,224.700,241.725,248.265,248.941,267.497,240.995,242.530,267.505,162.767,244.152,186.474,183.114
2007,252.767,276.630,233.759,245.953,257.699,257.797,281.489,300.572,250.891,332.449,166.369,256.783,193.053,189.575
2008,260.173,287.359,241.922,249.577,265.663,265.448,290.095,293.420,258.289,326.733,169.063,268.007,198.710,195.130
2009,246.952,270.963,227.011,241.075,251.679,252.205,283.538,230.421,245.507,270.814,158.428,258.272,188.613,185.214
2010,286.637,318.080,264.298,275.479,292.968,292.806,333.878,263.143,284.500,314.416,181.557,286.637,218.255,214.978
2011,276.612,310.638,257.077,260.566,283.386,282.617,328.570,230.582,274.462,286.394,173.010,285.318,210.622,207.459
2012,278.640,313.675,258.249,262.379,285.597,284.852,336.202,222.889,276.463,284.487,172.094,300.170,212.166,208.980
2013,263.563,297.273,243.415,248.367,270.269,269.599,324.880,214.453,261.452,279.694,160.760,298.718,200.686,197.673
2014,274.581,311.333,253.141,257.636,281.817,280.988,338.503,220.825,272.422,288.994,165.442,327.830,209.075,205.936
2015,358.576,404.721,328.202,340.293,367.689,367.272,440.867,284.610,355.806,372.826,213.481,358.576,273.032,268.932
2016,359.494,406.563,326.797,342.376,368.763,368.425,436.497,285.471,356.721,368.631,211.534,373.742,273.731,269.621
2017,356.881,406.182,325.457,336.484,366.586,365.870,422.583,288.132,353.998,359.939,207.605,384.998,271.741,267.661
2018,381.531,437.252,348.292,356.453,392.529,391.253,444.587,308.011,378.242,377.499,219.524,426.552,290.511,286.149
2019,380.410,435.087,345.909,357.400,391.247,390.403,441.868,308.556,377.097,376.693,216.599,440.537,289.657,285.308
2020,414.122,476.652,372.811,390.082,425.934,425.124,485.811,331.901,411.388,411.860,233.530,414.122,315.326,310.591
2021,464.956,542.531,424.693,425.245,479.856,477.229,542.950,396.882,461.161,483.353,259.973,481.877,354.033,348.717
2022,502.433,585.476,456.808,461.971,518.525,516.061,563.476,409.249,498.119,479.605,278.583,539.318,382.569,376.825
2023,611.616,713.013,554.204,563.552,631.396,628.583,678.847,484.582,606.122,563.286,336.173,611.616,465.704,458.712
