year,scenario,indicator,value
1980,C1 EROI freeze,Energy CPI,92.013
1981,C1 EROI freeze,Energy CPI,88.257
1982,C1 EROI freeze,Energy CPI,84.415
1983,C1 EROI freeze,Energy CPI,86.188
1984,C1 EROI freeze,Energy CPI,90.521
1985,C1 EROI freeze,Energy CPI,90.242
1986,C1 EROI freeze,Energy CPI,95.500
1987,C1 EROI freeze,Energy CPI,121.246
1988,C1 EROI freeze,Energy CPI,108.631
1989,C1 EROI freeze,Energy CPI,111.743
1990,C1 EROI freeze,Energy CPI,107.648
1991,C1 EROI freeze,Energy CPI,109.385
1992,C1 EROI freeze,Energy CPI,111.303
1993,C1 EROI freeze,Energy CPI,113.481
1994,C1 EROI freeze,Energy CPI,118.102
1995,C1 EROI freeze,Energy CPI,124.277
1996,C1 EROI freeze,Energy CPI,130.315
1997,C1 EROI freeze,Energy CPI,136.165
1998,C1 EROI freeze,Energy CPI,140.957
1999,C1 EROI freeze,Energy CPI,142.776
2000,C1 EROI freeze,Energy CPI,153.488
2001,C1 EROI freeze,Energy CPI,153.376
2002,C1 EROI freeze,Energy CPI,156.357
2003,C1 EROI freeze,Energy CPI,149.632
2004,C1 EROI freeze,Energy CPI,158.465
2005,C1 EROI freeze,Energy CPI,166.203
2006,C1 EROI freeze,Energy CPI,171.606
2007,C1 EROI freeze,Energy CPI,177.756
2008,C1 EROI freeze,Energy CPI,183.414
2009,C1 EROI freeze,Energy CPI,178.875
2010,C1 EROI freeze,Energy CPI,191.946
2011,C1 EROI freeze,Energy CPI,192.648
2012,C1 EROI freeze,Energy CPI,199.473
2013,C1 EROI freeze,Energy CPI,197.923
2014,C1 EROI freeze,Energy CPI,210.388
2015,C1 EROI freeze,Energy CPI,224.432
2016,C1 EROI freeze,Energy CPI,230.218
2017,C1 EROI freeze,Energy CPI,234.730
2018,C1 EROI freeze,Energy CPI,252.262
2019,C1 EROI freeze,Energy CPI,258.466
2020,C1 EROI freeze,Energy CPI,248.174
2021,C1 EROI freeze,Energy CPI,275.517
2022,C1 EROI freeze,Energy CPI,298.055
2023,C1 EROI freeze,Energy CPI,325.841
2024,C1 EROI freeze,Energy CPI,326.548
2025,C1 EROI freeze,Energy CPI,329.331
2026,C1 EROI freeze,Energy CPI,332.143
2027,C1 EROI freeze,Energy CPI,334.985
2028,C1 EROI freeze,Energy CPI,337.858
2029,C1 EROI freeze,Energy CPI,340.761
2030,C1 EROI freeze,Energy CPI,343.695
2031,C1 EROI freeze,Energy CPI,346.660
2032,C1 EROI freeze,Energy CPI,349.656
2033,C1 EROI freeze,Energy CPI,352.685
2034,C1 EROI freeze,Energy CPI,355.746
2035,C1 EROI freeze,Energy CPI,358.839
2036,C1 EROI freeze,Energy CPI,361.965
2037,C1 EROI freeze,Energy CPI,365.125
2038,C1 EROI freeze,Energy CPI,368.318
2039,C1 EROI freeze,Energy CPI,371.545
2040,C1 EROI freeze,Energy CPI,374.807
2041,C1 EROI freeze,Energy CPI,378.104
2042,C1 EROI freeze,Energy CPI,381.436
2043,C1 EROI freeze,Energy CPI,384.803
2044,C1 EROI freeze,Energy CPI,388.206
2045,C1 EROI freeze,Energy CPI,391.646
2046,C1 EROI freeze,Energy CPI,395.122
2047,C1 EROI freeze,Energy CPI,398.635
2048,C1 EROI freeze,Energy CPI,402.186
2049,C1 EROI freeze,Energy CPI,405.775
2050,C1 EROI freeze,Energy CPI,409.403
1980,C1 EROI freeze,Food,50.861
1981,C1 EROI freeze,Food,49.067
1982,C1 EROI freeze,Food,47.222
1983,C1 EROI freeze,Food,48.075
1984,C1 EROI freeze,Food,50.150
1985,C1 EROI freeze,Food,50.016
1986,C1 EROI freeze,Food,52.517
1987,C1 EROI freeze,Food,64.505
1988,C1 EROI freeze,Food,58.680
1989,C1 EROI freeze,Food,60.126
1990,C1 EROI freeze,Food,58.223
1991,C1 EROI freeze,Food,59.031
1992,C1 EROI freeze,Food,59.922
1993,C1 EROI freeze,Food,60.930
1994,C1 EROI freeze,Food,63.062
1995,C1 EROI freeze,Food,65.892
1996,C1 EROI freeze,Food,68.640
1997,C1 EROI freeze,Food,71.286
1998,C1 EROI freeze,Food,73.442
1999,C1 EROI freeze,Food,74.258
2000,C1 EROI freeze,Food,79.032
2001,C1 EROI freeze,Food,78.983
2002,C1 EROI freeze,Food,80.303
2003,C1 EROI freeze,Food,77.319
2004,C1 EROI freeze,Food,81.235
2005,C1 EROI freeze,Food,84.641
2006,C1 EROI freeze,Food,87.006
2007,C1 EROI freeze,Food,89.685
2008,C1 EROI freeze,Food,92.139
2009,C1 EROI freeze,Food,90.171
2010,C1 EROI freeze,Food,95.819
2011,C1 EROI freeze,Food,96.120
