scenario,year,cesi,regime,Energy CPI_p25,Food_p25,Fertiliser_p25,Real Wages_p25,Energy CPI_med,Food_med,Fertiliser_med,Real Wages_med,Energy CPI_p75,Food_p75,Fertiliser_p75,Real Wages_p75
C1 EROI freeze,2024,613.5,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2025,621.0,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2026,628.6,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2027,636.3,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2028,644.2,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2029,652.1,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2030,660.2,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2031,668.3,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C1 EROI freeze,2032,676.6,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2033,685.0,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2034,693.6,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2035,702.2,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2036,711.0,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2037,719.9,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2038,728.9,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2039,738.1,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2040,747.4,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2041,756.8,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2042,766.4,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2043,776.1,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2044,786.0,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2045,796.0,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2046,806.1,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2047,816.4,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2048,826.8,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2049,837.4,OFF-CHART,,,,,,,,,,,,
C1 EROI freeze,2050,848.1,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2024,628.9,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C2 R/P stabilises,2025,652.8,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C2 R/P stabilises,2026,677.8,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2027,704.0,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2028,731.4,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2029,760.2,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2030,790.5,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2031,822.2,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2032,855.5,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2033,890.6,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2034,927.5,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2035,966.3,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2036,1007.3,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2037,1073.3,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2038,1157.4,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2039,1249.7,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2040,1351.0,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2041,1462.7,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2042,1585.8,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2043,1721.9,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2044,1872.6,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2045,2039.9,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2046,2226.0,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2047,2433.7,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2048,2665.9,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2049,2926.3,OFF-CHART,,,,,,,,,,,,
C2 R/P stabilises,2050,3139.3,OFF-CHART,,,,,,,,,,,,
C3 Demand plateau,2024,611.5,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2025,617.1,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2026,622.9,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2027,628.9,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2028,635.3,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2029,641.9,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2030,648.8,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2031,656.0,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2032,663.5,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
C3 Demand plateau,2033,671.4,Q5,201.3,95.0,77.0,100.5,211.4,98.0,86.0,101.2,235.7,124.0,131.0,102.5
