indicator,quintile,n_years,median,p25,p75,min,max,example_years
Energy CPI,Q1,9,99.2,88.6,100.9,86.0,102.1,"1980, 1981, 1982, 1983, 1984, 1985..."
Energy CPI,Q2,9,104.2,102.5,105.2,89.3,111.5,"1988, 1989, 1991, 1992, 1993, 1994..."
Energy CPI,Q3,8,126.95,117.925,140.225,102.9,177.1,"1998, 1999, 2000, 2001, 2002, 2003..."
Energy CPI,Q4,9,236.7,207.7,243.9,193.1,246.0,"2006, 2007, 2008, 2009, 2010, 2011..."
Energy CPI,Q5,9,211.4,201.3,235.7,188.5,295.4,"2015, 2016, 2017, 2018, 2019, 2020..."
Food,Q1,9,51.0,49.0,52.0,47.0,58.0,"1980, 1981, 1982, 1983, 1984, 1985..."
Food,Q2,9,58.0,56.0,65.0,53.0,72.0,"1988, 1989, 1991, 1992, 1993, 1994..."
Food,Q3,8,63.0,59.75,68.75,58.0,74.0,"1998, 1999, 2000, 2001, 2002, 2003..."
Food,Q4,9,118.0,98.0,128.0,78.0,140.0,"2006, 2007, 2008, 2009, 2010, 2011..."
Food,Q5,9,98.0,95.0,124.0,92.0,144.0,"2015, 2016, 2017, 2018, 2019, 2020..."
Fertiliser,Q1,9,43.0,42.0,45.0,36.0,48.0,"1980, 1981, 1982, 1983, 1984, 1985..."
Fertiliser,Q2,9,46.0,43.0,56.0,41.0,58.0,"1988, 1989, 1991, 1992, 1993, 1994..."
Fertiliser,Q3,8,48.5,45.75,54.25,44.0,67.0,"1998, 1999, 2000, 2001, 2002, 2003..."
Fertiliser,Q4,9,114.0,94.0,137.0,70.0,243.0,"2006, 2007, 2008, 2009, 2010, 2011..."
Fertiliser,Q5,9,86.0,77.0,131.0,74.0,230.0,"2015, 2016, 2017, 2018, 2019, 2020..."
Real Wages,Q1,9,82.0,80.0,84.5,79.5,88.5,"1980, 1981, 1982, 1983, 1984, 1985..."
Real Wages,Q2,9,90.8,89.0,92.0,87.0,93.5,"1988, 1989, 1991, 1992, 1993, 1994..."
Real Wages,Q3,8,97.25,96.25,98.125,94.5,98.8,"1998, 1999, 2000, 2001, 2002, 2003..."
Real Wages,Q4,9,99.2,98.8,99.3,98.5,99.8,"2006, 2007, 2008, 2009, 2010, 2011..."
Real Wages,Q5,9,101.2,100.5,102.5,100.0,103.2,"2015, 2016, 2017, 2018, 2019, 2020..."
