Year,E_EJ,E_norm,Reserves_Official_Gbbl,Reserves_Deflated_Gbbl,Production_Gbbl,RP_Official_yr,RP_Deflated_yr,RP_norm,EROI,EROI_norm,WTI_Nominal,WTI_Real_2023,WTI_norm,D,S,CESI,CESI_Official,Divergence,GDP_const2015T,EnergyIntensity_EJ_per_T
1980,280.84,100.00,642.16,642.16,21.704,29.59,29.59,100.00,25.0,100.00,37.38,138.22,100.00,100.00,100.00,100.00,100.00,0.00,26.47,10.6097
1981,279.56,99.54,651.60,651.60,20.425,31.90,31.90,107.83,25.0,100.00,36.67,122.92,88.93,99.54,107.83,92.32,92.32,3.39,26.97,10.3655
1982,278.20,99.06,669.90,669.90,19.479,34.39,34.39,116.24,25.0,100.00,33.64,106.22,76.85,99.06,116.24,85.22,85.22,8.38,27.07,10.2770
1983,282.96,100.75,665.40,665.40,19.406,34.29,34.29,115.89,25.0,100.00,30.40,93.00,67.28,100.75,115.89,86.94,86.94,19.66,27.77,10.1893
1984,295.67,105.28,667.30,667.30,19.862,33.60,33.60,113.55,25.0,100.00,29.28,85.87,62.12,105.28,113.55,92.72,92.72,30.59,29.07,10.1708
1985,303.60,108.10,701.20,701.20,19.667,35.65,35.65,120.50,25.0,100.00,27.97,79.21,57.30,108.10,120.50,89.71,89.71,32.41,30.14,10.0729
1986,310.32,110.50,698.50,698.50,20.528,34.03,34.03,115.00,25.0,100.00,15.04,41.77,30.22,110.50,115.00,96.08,96.08,65.86,31.13,9.9686
1987,321.56,114.50,698.50,698.50,20.649,33.83,33.83,114.33,25.0,100.00,19.16,51.39,37.18,114.50,114.33,100.15,100.15,62.97,32.29,9.9584
1988,333.60,118.79,889.30,666.97,21.395,41.57,31.17,105.37,25.0,100.00,15.96,41.11,29.74,118.79,105.37,112.74,84.55,83.00,33.75,9.8844
1989,340.03,121.08,908.00,681.00,21.800,41.65,31.24,105.58,25.0,100.00,19.59,48.18,34.85,121.08,105.58,114.68,86.01,79.82,34.99,9.7180
1990,345.08,122.88,1001.90,751.42,22.055,45.43,34.07,115.16,25.0,100.00,24.49,57.09,41.30,122.88,115.16,106.70,80.03,65.40,35.95,9.5990
1991,347.46,123.72,999.80,749.85,21.946,45.56,34.17,115.48,25.0,100.00,21.48,48.05,34.77,123.72,115.48,107.13,80.35,72.37,36.39,9.5482
1992,349.58,124.48,990.10,742.58,21.936,45.14,33.85,114.42,22.0,88.00,20.56,44.65,32.30,124.48,100.69,123.63,92.72,91.32,37.15,9.4099
1993,352.42,125.49,996.80,747.60,21.963,45.38,34.04,115.05,22.0,88.00,18.46,38.93,28.16,125.49,101.24,123.95,92.96,95.79,37.85,9.3110
1994,356.89,127.08,999.00,749.25,22.329,44.74,33.56,113.41,22.0,88.00,17.19,35.34,25.57,127.08,99.80,127.33,95.50,101.76,39.14,9.1184
1995,364.74,129.87,999.80,749.85,22.787,43.88,32.91,111.22,22.0,88.00,18.43,36.85,26.66,129.87,97.87,132.69,99.52,106.04,40.37,9.0348
1996,375.29,133.63,1008.50,756.38,23.293,43.30,32.47,109.75,22.0,88.00,22.15,43.02,31.12,133.63,96.58,138.36,103.77,107.24,41.82,8.9738
1997,378.97,134.94,1021.19,765.89,24.016,42.52,31.89,107.79,22.0,88.00,20.60,39.11,28.29,134.94,94.85,142.26,106.70,113.97,43.48,8.7159
1998,381.07,135.69,1023.10,767.33,24.463,41.82,31.37,106.01,22.0,88.00,14.39,26.90,19.46,135.69,93.29,145.44,109.08,125.98,44.72,8.5212
1999,387.41,137.95,1036.60,777.45,24.053,43.10,32.32,109.25,22.0,88.00,19.25,35.21,25.47,137.95,96.14,143.49,107.62,118.02,46.32,8.3638
2000,397.50,141.54,1020.70,765.53,24.945,40.92,30.69,103.72,18.0,72.00,30.30,53.61,38.79,141.54,74.68,189.53,142.15,150.74,48.43,8.2077
2001,401.38,142.92,1032.00,774.00,24.791,41.63,31.22,105.52,18.0,72.00,25.92,44.62,32.28,142.92,75.98,188.11,141.09,155.83,49.41,8.1234
2002,410.02,146.00,1034.90,776.18,24.474,42.29,31.71,107.19,18.0,72.00,26.10,44.21,31.98,146.00,77.18,189.17,141.88,157.19,50.55,8.1112
2003,424.26,151.07,1215.10,911.32,25.254,48.11,36.09,121.97,18.0,72.00,31.14,51.57,37.31,151.07,87.82,172.03,129.02,134.72,52.12,8.1400
2004,445.83,158.75,1264.80,948.60,26.371,47.96,35.97,121.58,18.0,72.00,41.44,66.84,48.36,158.75,87.54,181.35,136.01,132.99,54.47,8.1849
2005,460.57,164.00,1278.90,959.18,26.833,47.66,35.75,120.82,18.0,72.00,56.47,88.10,63.74,164.00,86.99,188.53,141.40,124.79,56.67,8.1273
2006,473.33,168.54,1292.20,969.15,26.681,48.43,36.32,122.77,16.0,64.00,66.10,99.90,72.28,168.54,78.57,214.51,160.88,142.23,59.21,7.9941
