year,baseline,wE-0.15,wE-0.10,wE-0.05,wE+0.05,wE+0.10,wE+0.15,wE+0.20,wE+0.30,wX-0.15,wX-0.10,wX-0.05,wX+0.05,wX+0.10,wX+0.15,wX+0.20,wX+0.30,wI-0.15,wI-0.10,wI-0.05,wI+0.05,wI+0.10,wI+0.15,wI+0.20,wI+0.30,wP-0.05,wP+0.05,wP+0.10,wP+0.15,wP+0.20,wP+0.30,equal_025,E_dominant,X_dominant,I_dominant,P_dominant,EX_heavy,IP_heavy,haircut_00pct,haircut_05pct,haircut_10pct,haircut_15pct,haircut_20pct,haircut_25pct,haircut_30pct,haircut_35pct,haircut_40pct,eroi_baseline,eroi_end-20pct,eroi_end-10pct,eroi_end+10pct,eroi_end+20pct,eroi_all_m10pct,eroi_all_p10pct,eroi_pchip_smooth,thr_rp15_er5,thr_rp15_er6,thr_rp15_er7,thr_rp15_er8,thr_rp15_er9,thr_rp18_er5,thr_rp18_er6,thr_rp18_er7,thr_rp18_er8,thr_rp18_er9,thr_rp20_er5,thr_rp20_er6,thr_rp20_er7,thr_rp20_er8,thr_rp20_er9,thr_rp22_er5,thr_rp22_er6,thr_rp22_er7,thr_rp22_er8,thr_rp22_er9,thr_rp25_er5,thr_rp25_er6,thr_rp25_er7,thr_rp25_er8,thr_rp25_er9,base_1980,base_1990,base_2000,stress_all_against,stress_all_favor,stress_bear_eroi,stress_mild_opec,stress_severe_opec
1980,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,89.212,48.727,100.000,100.000,100.000,100.000,100.000
1981,93.263,93.499,93.421,93.342,93.184,93.106,93.027,92.948,92.791,93.161,93.195,93.229,93.297,93.331,93.365,93.399,93.467,93.013,93.096,93.180,93.346,93.430,93.513,93.596,93.763,93.281,93.246,93.228,93.211,93.193,93.158,93.400,92.791,93.572,94.158,93.086,93.103,93.698,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.702,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,93.263,83.177,45.422,93.400,93.263,93.702,93.263,93.263
1982,86.620,86.969,86.853,86.736,86.504,86.387,86.271,86.154,85.921,86.492,86.535,86.578,86.663,86.705,86.748,86.790,86.875,86.243,86.369,86.494,86.746,86.871,86.997,87.122,87.374,86.632,86.608,86.596,86.584,86.572,86.548,86.868,85.921,87.017,87.965,86.519,86.349,87.387,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,87.553,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,86.620,77.243,42.178,86.868,86.620,87.553,86.620,86.620
1983,88.327,88.674,88.559,88.443,88.211,88.096,87.980,87.864,87.633,87.873,88.025,88.176,88.478,88.630,88.781,88.932,89.235,88.388,88.368,88.347,88.307,88.287,88.267,88.246,88.206,88.336,88.319,88.310,88.302,88.294,88.277,88.391,87.633,89.561,88.272,88.384,88.631,88.150,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,89.931,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,88.327,78.711,42.962,88.391,88.327,89.931,88.327,88.327
1984,93.778,94.044,93.956,93.867,93.690,93.601,93.513,93.424,93.247,93.068,93.305,93.542,94.015,94.252,94.489,94.726,95.200,94.268,94.105,93.942,93.615,93.452,93.289,93.125,92.799,93.805,93.752,93.726,93.699,93.673,93.620,93.570,93.247,95.656,92.317,93.707,94.638,92.502,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,96.292,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,93.778,83.532,45.583,93.570,93.778,96.292,93.778,93.778
1985,92.392,93.063,92.839,92.616,92.169,91.945,91.722,91.498,91.051,90.961,91.438,91.915,92.869,93.346,93.823,94.300,95.254,93.045,92.827,92.610,92.175,91.957,91.740,91.522,91.087,92.522,92.262,92.132,92.002,91.871,91.611,91.935,91.051,96.198,90.572,91.311,93.899,89.972,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,95.780,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,92.392,82.156,44.786,91.935,92.392,95.780,92.392,92.392
1986,99.143,99.908,99.653,99.398,98.888,98.633,98.378,98.123,97.613,97.480,98.034,98.588,99.697,100.251,100.805,101.360,102.468,99.914,99.657,99.400,98.886,98.628,98.371,98.114,97.600,99.299,98.987,98.831,98.675,98.519,98.207,98.587,97.613,103.563,96.980,97.831,100.911,96.263,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,103.874,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,99.143,88.135,48.038,98.587,99.143,103.874,99.143,99.143
1987,103.549,104.399,104.116,103.832,103.265,102.981,102.698,102.414,101.847,101.587,102.241,102.895,104.202,104.856,105.510,106.164,107.472,104.504,104.186,103.867,103.230,102.912,102.593,102.275,101.638,103.752,103.345,103.142,102.939,102.736,102.330,102.798,101.847,108.753,100.831,101.767,105.699,99.898,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,109.752,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,103.549,92.010,50.137,102.798,103.549,109.752,103.549,103.549
1988,116.694,117.684,117.354,117.024,116.364,116.035,115.705,115.375,114.715,114.340,115.125,115.910,117.479,118.264,119.048,119.833,121.402,117.843,117.460,117.077,116.312,115.929,115.546,115.163,114.397,116.965,116.424,116.153,115.883,115.612,115.071,115.702,114.715,122.934,113.415,114.230,119.306,112.097,87.521,92.127,97.245,102.966,109.401,116.694,125.030,134.647,145.868,116.694,116.694,116.694,116.694,116.694,116.694,116.694,125.236,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,116.694,103.664,56.479,86.776,145.869,125.236,97.245,134.647
1989,120.192,121.571,121.111,120.652,119.732,119.272,118.813,118.353,117.434,117.376,118.314,119.253,121.131,122.069,123.008,123.947,125.824,121.211,120.871,120.532,119.852,119.512,119.173,118.833,118.154,120.552,119.831,119.471,119.110,118.750,118.029,119.117,117.434,127.696,117.482,116.798,123.027,115.207,90.144,94.888,100.160,106.052,112.680,120.192,128.777,138.683,150.240,120.192,120.192,120.192,120.192,120.192,120.192,120.192,130.713,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,120.192,106.690,58.100,89.338,150.240,130.713,100.160,138.683
