run_id,axis,params,CESI_1980,CESI_2023,max_dd,crit_A,crit_C,rank_corr_vs_base,delta_vs_base_pct
baseline,baseline,{},100.000,611.616,1.522,1,1,1.0000,+0.00
wE-0.15,weights,"{'weights': (0.25, 0.375, 0.25, 0.125)}",100.000,649.640,1.387,1,1,1.0000,+6.22
wE-0.10,weights,"{'weights': (0.30000000000000004, 0.35000000000000003, 0.23333333333333336, 0.11666666666666668)}",100.000,636.965,1.432,1,1,1.0000,+4.14
wE-0.05,weights,"{'weights': (0.35000000000000003, 0.32499999999999996, 0.21666666666666667, 0.10833333333333334)}",100.000,624.290,1.477,1,1,1.0000,+2.07
wE+0.05,weights,"{'weights': (0.45, 0.275, 0.18333333333333335, 0.09166666666666667)}",100.000,598.941,1.566,1,1,1.0000,-2.07
wE+0.10,weights,"{'weights': (0.5, 0.25, 0.16666666666666669, 0.08333333333333334)}",100.000,586.267,1.611,1,1,1.0000,-4.14
wE+0.15,weights,"{'weights': (0.55, 0.22499999999999998, 0.15000000000000002, 0.07500000000000001)}",100.000,573.592,1.656,1,1,1.0000,-6.22
wE+0.20,weights,"{'weights': (0.6000000000000001, 0.19999999999999996, 0.1333333333333333, 0.06666666666666665)}",100.000,560.917,1.700,1,1,1.0000,-8.29
wE+0.30,weights,"{'weights': (0.7, 0.15000000000000002, 0.10000000000000003, 0.05000000000000002)}",100.000,535.568,1.790,1,1,0.9997,-12.43
wX-0.15,weights,"{'weights': (0.4857142857142857, 0.15, 0.24285714285714285, 0.12142857142857143)}",100.000,582.910,1.808,1,1,0.9997,-4.69
wX-0.10,weights,"{'weights': (0.45714285714285713, 0.19999999999999998, 0.22857142857142856, 0.11428571428571428)}",100.000,592.478,1.712,1,1,1.0000,-3.13
wX-0.05,weights,"{'weights': (0.4285714285714286, 0.25, 0.2142857142857143, 0.10714285714285715)}",100.000,602.047,1.617,1,1,1.0000,-1.56
wX+0.05,weights,"{'weights': (0.37142857142857144, 0.35, 0.18571428571428572, 0.09285714285714286)}",100.000,621.185,1.426,1,1,1.0000,+1.56
wX+0.10,weights,"{'weights': (0.3428571428571428, 0.4, 0.1714285714285714, 0.0857142857142857)}",100.000,630.753,1.331,1,1,0.9997,+3.13
wX+0.15,weights,"{'weights': (0.3142857142857143, 0.44999999999999996, 0.15714285714285714, 0.07857142857142857)}",100.000,640.322,1.235,1,1,0.9997,+4.69
wX+0.20,weights,"{'weights': (0.2857142857142857, 0.5, 0.14285714285714285, 0.07142857142857142)}",100.000,649.891,1.140,1,1,0.9997,+6.26
wX+0.30,weights,"{'weights': (0.22857142857142856, 0.6, 0.11428571428571428, 0.05714285714285714)}",100.000,669.028,0.949,1,1,0.9992,+9.39
wI-0.15,weights,"{'weights': (0.4749999999999999, 0.3562499999999999, 0.05000000000000002, 0.11874999999999998)}",100.000,575.568,1.391,1,1,0.9994,-5.89
